       0 <= x <=       30 ; y =      58.0000 +       0.6333 x ; interpolation
      30 <= x <=       60 ; y =      94.0000 +      -0.5667 x ; interpolation
      60 <= x <=       90 ; y =      22.0000 +       0.6333 x ; interpolation
      90 <= x <=      120 ; y =     121.0000 +      -0.4667 x ; interpolation
       0 <= x <=      120 ; y =      64.6000 +       0.0533 x ; least-squares
       0 <= x <=       30 ; y =      58.0000 +       1.0601 x +       0.0000 x^2 +      -0.0005 x^3 ; cubic-spline
      30 <= x <=       60 ; y =      17.1786 +       5.1423 x +      -0.1361 x^2 +       0.0010 x^3 ; cubic-spline
      60 <= x <=       90 ; y =     459.4643 +     -16.9720 x +       0.2325 x^2 +      -0.0010 x^3 ; cubic-spline
      90 <= x <=      120 ; y =    -602.2143 +      18.4173 x +      -0.1607 x^2 +       0.0004 x^3 ; cubic-spline
